編號,鄉鎮市(區),收容場所名稱,衛福部重災系統災民收容所編號,"面積
（平方公尺）",預估收容人數,管理人,聯絡電話,地址,應收容村里別,適用災害類型,X軸,Y軸
1,仁愛區,仁愛區公所,SC200-0001,335,67,劉德義,"（02）24301122 ext.205
0983228877",基隆市仁愛區光一路28號6樓,書院里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",324289.47,2779849.634
2,仁愛區,虹橋水錦聯合里民活動中心,SC200-0002,309,62,"邱啟毓
胡燿麟","（02）24301122 ext.311
0988331358
0912528028",基隆市仁愛區仁二路53號,"虹橋里
水錦里","■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",325595.19,2780127.566
3,仁愛區,林泉里民活動中心,SC200-0003,300,60,王偉鋕,"（02）24301122 ext.313
0928106078",基隆市仁愛區復興街60巷2號,林泉里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",325800.16,2779775.008
4,仁愛區,花崗里活動中心,SC200-0004,126,26,胡燿麟,"（02）24301122 ext.308
0912528028",基隆市仁愛區劉銘傳路11巷24弄3號,花崗里,"■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",325813.53,2780079.297
5,仁愛區,智仁里民活動中心,SC200-0005,369,74,陳建任,"（02）24301122 ext.308
0933389159",基隆市仁愛區延平街7號,智仁里,"■震災■風災□水災■火災
■土石流災害■坡災□海嘯災害",325487.54,2780072.592
6,仁愛區,和明里民活動中心,SC200-0006,369.26,74,劉慈芬,"（02）24301122 ext.316
0983570083",基隆市仁愛區仁二路137巷2弄1之3號,和明里,"■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",325186.43,2779985.099
7,仁愛區,忠勇里民活動中心,SC200-0007,150,30,謝秉均,"（02）24301122 ext.312
0905721731",基隆市仁愛區愛五路6巷32號,忠勇里,"□震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",325123.92,2780092.589
8,仁愛區,玉田里民活動中心,SC200-0008,150,30,邱啟毓,"（02）24301122 ext.306
0933766411",基隆市仁愛區愛四路2巷22之1號,玉田里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",325000.88,2780065.032
9,仁愛區,仁德里民活動中心,SC200-0009,179,36,黃麗梅,"（02）24301122 ext.307
0920249256",基隆市仁愛區孝一路82之1號2樓旁通道,仁?里,"□震災■風災□水災■火災
■土石流災害■坡災□海嘯災害",324739.56,2780342.513
10,仁愛區,博愛里民活動中心,SC200-0010,264,53,吳靜宜,"（02）24301122 ext.316
0922768058",基隆市仁愛區愛一路8號3樓之7,博愛里,"□震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",324696.03,2780170.897
11,仁愛區,福仁里民活動中心,SC200-0011,170,34,謝秉均,"（02）24301122 ext.312
0905721731",基隆市仁愛區南榮路117巷31弄1號,"福仁里
誠仁里","■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",324989.73,2779915.598
12,仁愛區,吉仁里民活動中心,SC200-0012,200,40,范鴻軒,"（02）24301122 ext.315
0916992590
李里長0932161557",基隆市仁愛區南新街29之6號,吉仁里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",325039.674,2779688.237
13,仁愛區,育仁里民活動中心,SC200-0013,124,25,林香垂,"（02）24301122 ext.307
0922566137",基隆市仁愛區南榮路269巷28之1號,育仁里,"□震災□風災■水災■火災
■土石流災害■坡災■海嘯災害",325024.18,2779319.608
14,仁愛區,文安里民活動中心,SC200-0015,100,20,賴煒曾,"（02）24301122 ext.306
0988331358
李里長24252020、0910280339",基隆市仁愛區仁五路20號2樓,"文安里
崇文里","■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",324699.756,2780118.952
15,仁愛區,兆連里民活動中心,SC200-0016,241,49,吳純菁,"（02）24301122 ext.310
0983228877",基隆市仁愛區獅球路25巷8號,兆連里,"■震災■風災□水災■火災
■土石流災害■坡災□海嘯災害",324505.42,2779862.205
16,仁愛區,獅球書院聯合里民活動中心,SC200-0017,208.67,42,"林香垂
許玉芬","（02）24301122 ext.309
0922566137",基隆市仁愛區獅球路50號,"獅球里
書院里","■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",324315.935,2779768.071
17,仁愛區,朝棟里民活動中心,SC200-0018,421,85,陳家麟,"（02）24301122 ext.310
0916989042",基隆市仁愛區成功一路133巷5號,朝棟里,"■震災■風災□水災■火災
■土石流災害■坡災□海嘯災害",324238.52,2780228.438
18,仁愛區,光華里民活動中心,SC200-0019,350,70,范鴻軒,"（02）24301122 ext.319
0916992590",基隆市仁愛區光一路28號5樓,光華里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",324289.47,2779849.634
19,仁愛區,明德里民活動中心,SC200-0020,144,29,黃旭惠,"（02）24301122 ext.309
0958316716",基隆市仁愛區自來街13巷5之2號,明德里,"■震災■風災□水災■火災
■土石流災害■坡災□海嘯災害",324515.48,2780117.59
20,仁愛區,同風里民活動中心,SC200-0021,65,13,"黃麗梅
楊春生里長","（02）24301122 ext.307
0920249256
24288731、0933932877",基隆市仁愛區孝二路39號7樓12室（忠孝大樓）,同風里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",324557.96,2780256.72
21,仁愛區,文昌里民活動中心,SC200-0022,179,36,黃旭惠,"（02）24301122 ext.309
0958316716",基隆市仁愛區孝四路10之1號（陸橋下）,文昌里,"■震災■風災□水災■火災
■土石流災害■坡災□海嘯災害",324468.65,2780453.987
22,仁愛區,新店里民活動中心,SC200-0023,170,34,吳靜宜,"（02）24301122 ext.316
0922768058",基隆市仁愛區孝一路100之1號2樓旁通道,新店里,"■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",324678.38,2780238.227
23,仁愛區,仁愛國小,SC200-0024,852,171,江家慶,"（02）24289131ext.30
0935193183",基隆市仁愛區仁二路139號,"智仁里
和明里
忠勇里","■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",325236.527,2780146.635
24,仁愛區,南榮國小,SC200-0025,824.34,165,總務主任翁瑞宏,（02）24223038ext.30,基隆市仁愛區南榮路321號,"龍門里
德厚里
曲水里
英仁里","■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",324818.48,2779365.724
25,仁愛區,新忠勇里民活動中心,SC200-0026,86.42,30,謝秉均,"(02)24301122ext312
0905-721731",基隆市仁愛區仁三路3巷2弄1-1號,忠勇里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",325073.511,2780095.862
26,信義區,信義區公所,SC201-0001,583.7,117,課員吳明政,"（02）24282101#204
0912453680",基隆市信義區信二路179號,轄內各里,"■震災■風災■水災■火災
□土石流災害□坡災■海嘯災害",325759.551,2780335.581
27,信義區,仁義里民活動中心,SC201-0003,184,37,王柏力,"（02）24287750
0933240267",基隆市信義區信二路246巷32號,"仁義里
人壽里","■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",325709.3,2780465.722
28,信義區,義昭里民活動中心,SC201-0004,588.46,118,龔信謀,"（02）24249039
0933101726",基隆市信義區信二路157號,義昭里,"■震災■風災□水災■火災
■土石流災害■坡災□海嘯災害",325890.95,2780317.432
29,信義區,義和里民活動中心,SC201-0006,352.8,71,蔡麗月,"（02）24654065
0912903769",基隆市信義區信一路6號3樓,義和里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",326381.07,2780243.607
30,信義區,義民里民活動中心,SC201-0007,352.8,71,連轉旺,"（02）24235023
0937872399",基隆市信義區信一路6號4樓,義民里,"■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",326390.9,2780226.844
31,信義區,智慧里民活動中心,SC201-0008,269.51,54,蔡美玉,"（02）24227999
0933931379",基隆市信義區仁一路7巷61號,"智慧里
智誠里","■震災■風災□水災■火災
■土石流災害■坡災□海嘯災害",326074.25,2780113.502
32,信義區,禮東里民活動中心,SC201-0010,120,24,賴興泉,"（02）24659320
0933933507",基隆市信義區東明路67巷7號,禮東里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",326883.26,2780063.472
33,信義區,東信里民活動中心,SC201-0012,177.44,36,賴姵綺,"（02）24684012
0919317887",基隆市信義區東信路258巷54號,東信里,"■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",326903.13,2780375.551
34,信義區,東光里民活動中心,SC201-0013,533,107,黃元良,"（02）24650489
0935098234",基隆市信義區崇法街133號地下室,東光里,"■震災■風災■水災■火災
■土石流災害□坡災■海嘯災害",327472.76,2780893.22
35,信義區,東明里民活動中心,SC201-0014,132.61,27,賴賢義,"（02）24651989
0910140815",基隆市信義區東信路35巷47號1樓,東明里,"■震災■風災□水災□火災
■土石流災害■坡災■海嘯災害",327337.9,2780063.619
36,信義區,東安里民活動中心,SC201-0015,388,78,林睿騰,"（02）24655474
0921816105",基隆市信義區東信路10-2號,東安里,"■震災■風災□水災■火災
■土石流災害□坡災■海嘯災害",327457.46,2780245.602
37,信義區,孝深里民活動中心,SC201-0016,256.08,52,陳茂松,"（02）24651433
0939913036",基隆市信義區深澳坑路75號,孝深里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",329201.4,2780066.921
38,信義區,孝德里民活動中心,SC201-0019,282.36,57,朱志偉,"（02）2466-7566
0933932098",基隆市信義區東峰街154號,孝德里,"■震災■風災■水災□火災
■土石流災害■坡災■海嘯災害",328320.23,2780457.241
39,信義區,市立體育場,SC201-0020,4084.1,817,張竹修,"（02）24275518 ext.21
0952514825",基隆市信義區信二路40-1號,"轄內各里
義幸、信綠","■震災■風災□水災■火災
■土石流災害■坡災□海嘯災害",326272.51,2780271.562
40,信義區,東信國小,SC201-0022,800,160,黃英人,（02）24652133 ext.30,基隆市信義區正信路26號,信綠里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",326688.93,2780622.961
41,中正區,中正區公所,SC202-0001,120.51,25,李吉清,"（02）24633341 ext.101
0912571588",基隆市中正區中正路674號7樓,"正濱里
海濱里","■震災■風災■水災■火災
■土石流災害□坡災■海嘯災害",327492.6,2782867.205
42,中正區,和平島聯合里民活動中心,SC202-0002,270.28,55,范詠翔,"(02)24628668
0933102438",基隆市中正區和一路155巷14號,"社寮里
和寮里","■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",327053.77,2783121.134
43,中正區,建國里民活動中心,SC202-0003,269.73,54,陳?信,"（02）24620798
0916035678",基隆市中正區祥豐街467號2樓,建國里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",327589.95,2782174.286
44,中正區,砂子里民活動中心,SC202-0004,356.35,72,黃余葉,"（02）24692224
0937981622",基隆市中正區調和街3號3樓,砂子里,"□震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",330312.3,2781419.811
45,中正區,八斗里民活動中心,SC202-0005,204.8,41,范玉蘭,"(02)24691302
0928813226",基隆市中正區八斗街57號,"八斗里
長潭里","□震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",330324.61,2781879.136
46,中正區,砂灣里民活動中心,SC202-0006,286.76,58,簡曉東,"（02）24626870
0935528931",基隆市中正區祥豐街66號3樓,砂灣里,"■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",327023.36,2781720.524
47,中正區,碧砂里民活動中心,SC202-0007,300,60,黃志強,"（02）24692155
0932070388",基隆市中正區環港街84號2樓,碧砂里,"□震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",329916.19,2781627.277
48,中正區,三砂灣聯合里民活動中心,SC202-0009,200,40,江惠卿,"（02）24271535
0939486526",基隆市中正區中船路11號2樓,"入船里
正船里","□震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",325655.714,2781183.52
49,中正區,中濱里民活動中心,SC202-0010,200,40,黃凱義,"（02）24620181
0989802671",基隆市中正區武昌街70巷23號,中濱里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",327041.88,2782442.216
50,中正區,平寮里民活動中心,SC202-0012,102.24,21,蔡淑貞,"（02）24631305
0937869965",基隆市中正區和一路186號,"平寮里
和憲里","□震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",327004.28,2783171.955
51,中正區,正砂里民活動中心,SC202-0013,300,60,俞明發,"（02）24620698
0939086368",基隆市中正區中正路211號,"真砂里
正砂里","■震災■風災□水災■火災
■土石流災害■坡災□海嘯災害",326735.978,2781858.675
52,中正區,新豐里民活動中心,SC202-0014,112.68,23,王慧童,"(02)24693885
0982058708",基隆市中正區新豐街482號3樓,新豐里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",329172.03,2781023.869
53,中正區,中正里民活動中心,SC202-0015,300,60,梁火龍,"(02)24621889
0921840140",基隆市中正區中正路656巷146號,中正里,"■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",327350.16,2782561.765
54,中正區,信義里民活動中心,SC202-0016,303.75,61,江添丁,"（02）24256399
0919918078",基隆市中正區信六路21號2樓,"信義里
義重里
德義里","■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",325389.51,2780943.03
55,中正區,港通及正義里民活動中心,SC202-0017,130,26,"簡進發
駱錫賢","（02）24201335
0932356652
（02）24224901
0932161485",基隆市中正區義一路87號7樓之1,"港通里
正義里","■震災■風災□水災■火災
■土石流災害■坡災□海嘯災害",325286.24,2780905.359
56,中正區,中砂里民活動中心,SC202-0018,106.56,22,廖正龍,"（02）24628991
0935151434",基隆市中正區豐稔街50號,中砂里,"■震災■風災□水災■火災
■土石流災害■坡災□海嘯災害",326716.41,2781603.94
57,中正區,八斗高中活動中心,SC202-0019,420,84,施麗玲,（02）24692366 ext.31   0921106255,基隆市中正區新豐街100號,"新豐里
新富里","■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",329502.46,2781523.307
58,中正區,中正國小活動中心,SC202-0020,1348.43,270,總務主任劉仕容,（02）24223064 ext.30   0939831009,基隆市中正區中船路36巷4號,"中船里
入船里
正船里","■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",325735.82,2781016.48
59,中正區,基隆海事活動中心,SC202-0021,735.42,148,總務主任楊孟山,（02）24621602     0933356888,基隆市中正區祥豐街246號,海濱里,"□震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",327780.82,2782396.236
60,中正區,和平國小活動中心,SC202-0026,500,100,陳建銘,24622106,基隆市中正區和一路84巷26號,"社寮里
和憲里","■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",3712125.862,9484160.413
61,中正區,八斗子環保公園,SC202-0027,1.4公頃,500,黃旭鴻專員,(02) 24696000 ext.1014,潮境公園(不含委外停車場，基隆市北寧路369巷內),長潭里  八斗里  新豐里  新富里  碧砂里 砂子里,"■震災■風災□水災■火災
□土石流災害□坡災□海嘯災害□核災",248170.83,2652129.98
62,中正區,國立臺灣海洋大學,SC202-0028,3021,629,"吳晴香
行政組員張文亮","02-24622192#1143
02-24622192#2214",基隆市中正區北寧路2號,海濱里,"■震災□風災□水災□火災
□土石流災害□坡災□海嘯災害",248170.826,2652129.977
63,中山區,新建里民活動中心,SC203-0001,250,50,高瑞堂,"（02）24260823
0935202076",基隆市中山區成功二路2之1號,新建里,"■震災■風災□水災■火災
■土石流災害■坡災□海嘯災害",324345.73,2780322.152
64,中山區,中山里民活動中心,SC203-0004,200,40,張金發,"（02）24242334
0933101445",基隆市中山區中山一路219號2樓,中山里,"■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",324559.84,2780879.44
65,中山區,民治里民活動中心,SC203-0005,200,40,施財濃,"（02）24234213
0933242239",基隆市中山區中山一路219號1樓,民治里,"■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",324563.29,2780875.121
66,中山區,中興里民活動中心,SC203-0006,200,40,李進發,"（02）24238360
0931070551",基隆市中山區中山二路11號,中興里,"■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",324698.28,2781174.471
67,中山區,仁正里民活動中心,SC203-0007,250,50,陳炳楠,"（02）24231711
0933143101",基隆市中山區中山二路109巷13號,仁正里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",324479.66,2781568.149
68,中山區,健民里民活動中心,SC203-0008,250,50,劉健鑑,"（02）24220926
0932075277",基隆市中山區健民街5號,健民里,"■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",324369.92,2781745.029
69,中山區,通化里民活動中心,SC203-0009,450,90,徐麗玲,"（02）24225977
0963068968",基隆市中山區復旦路10號,通化里,"■震災■風災□水災■火災
■土石流災害■坡災□海嘯災害",324539.63,2782096.038
70,中山區,居仁里民活動中心,SC203-0010,275,55,鄭淑華,"（02）24222301
0918029692",基隆市中山區通仁街162號,居仁里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",324016.11,2781909.018
