id,資料集名稱,服務分類,檔案格式,下載連結,資料類型,資料集描述,提供機關,更新頻率,授權方式,授權說明網址,計費方式,資料集提供機關聯絡人,資料集提供機關聯絡人電話,發布時間,修訂時間,備註
45726,基隆市綜合性家庭福利中心,生活安全及品質,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=11&Cid=9,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:45","授權說明網址: http://data.gov.tw/license"
45727,基隆市志願服務推廣中心,公共資訊,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=10&Cid=10,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:44","授權說明網址: http://data.gov.tw/license"
45728,基隆市家事服務中心,公共資訊,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=7&Cid=12,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:47","授權說明網址: http://data.gov.tw/license"
45729,基隆市家庭暴力暨性侵害防治中心,生活安全及品質,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=15&Cid=13,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:49","授權說明網址: http://data.gov.tw/license"
45730,基隆市政府駐基隆法院家庭暴力事件服務處,公共資訊,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=15&Cid=14,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,http://social.klcg.gov.tw/social_srv/welfare_list.php?Kid=11&Mid=15&Cid=14,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:52","授權說明網址: http://data.gov.tw/license"
45732,基隆市災民避難收容場所位置,公共資訊,CSV,http://social.klcg.gov.tw/news/info_view.php?file=dl&fid=5420&dept_id=1&serno=20170929085544,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/30 16:04","授權說明網址: http://data.gov.tw/license"
45745,基隆市應回收廢棄物回收處理業名單,公共資訊,CSV,http://opendata.epa.gov.tw/ws/Data/OTH01092/?$skip=0&$top=1000&format=csv,UTF-8,a01,,基隆市環境保護局,每季,政府資料開放授權條款-第1版,http://www.klepb.gov.tw/news/index-1.asp?m=9&m1=11&m2=56&gp=&id=4461,免費,許小姐,0224669897#46,"2017/08/10 00:00","2017/08/10 08:56","授權說明網址: http://data.gov.tw/license"
45749,基隆市兒童及少年安置教養機構,出生及收養,CSV,http://social.klcg.gov.tw/social_srv/info_view.php?file=dl&fid=5412&dept_id=1&serno=20170524183204,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 17:25","授權說明網址: http://data.gov.tw/license"
45750,基隆市兒少安置機構營運概況,出生及收養,其他,http://www.cfcf.org.tw/,UTF-8,a01,,基隆市政府社會處,每季,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/30 11:31","授權說明網址: http://data.gov.tw/license"
45751,基隆市老人福利機構名冊,老年安養,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=5&Cid=5,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:21","授權說明網址: http://data.gov.tw/license"
45756,基隆旅遊網,休閒旅遊,WMS,http://tour.klcg.gov.tw/Index.aspx?hl=zh-TW,UTF-8,a01,,基隆市政府交通旅遊處,每季,政府資料開放授權條款-第1版,http://tour.klcg.gov.tw/Index.aspx?hl=zh-TW,免費,劉先生,0224274830,"2017/08/08 00:00","2017/08/08 17:17","授權說明網址: http://data.gov.tw/license"
45757,基隆市公有路外停車場基本資料,交通及通訊,CSV,http://tourism.klcg.gov.tw/DlFile.ashx?no=11907DE,UTF-8,a01,,基隆市政府交通旅遊處,不定期,政府資料開放授權條款-第1版,http://tourism.klcg.gov.tw/DlFile.ashx?no=11901B2,免費,楊小姐,0224235234#33,"2017/06/13 00:00","2017/09/27 16:56","更新頻率說明: 變動時更新 授權說明網址: http://data.gov.tw/license"
45758,基隆市路邊收費路段及收費時間一覽表,交通及通訊,CSV,http://tourism.klcg.gov.tw/DlFile.ashx?no=11907E5,UTF-8,a01,,基隆市政府交通旅遊處,不定期,政府資料開放授權條款-第1版,http://tourism.klcg.gov.tw/tw/Download/DownloadData.aspx?DSerNo=13000057,免費,楊小姐,0224235234#33,"2017/06/02 00:00","2017/09/27 16:55","更新頻率說明: 變動時更新 授權說明網址: http://data.gov.tw/license"
45811,基隆市警察局各單位地址電話,交通及通訊,其他;壓縮檔,http://www.klg.gov.tw/cht/index.php?code=list&flag=detail&ids=3&article_id=1859;www.klg.gov.tw/upload/cht/attachment/c12835d8882108498f91b6c83bdb44df.zip,UTF-8;UTF-8,a01,,基隆市警察局,每季,政府資料開放授權條款-第1版,http://www.klg.gov.tw/cht/index.php?code=list&flag=detail&ids=3&article_id=1859;http://www.klg.gov.tw/cht/index.php?code=list&flag=detail&ids=3&article_id=1859,免費,方先生,0224233853,"2017/05/31 00:00","2017/08/02 21:38","授權說明網址: http://data.gov.tw/license"
46439,基隆市104年衛生管理優良廠商,生活安全及品質,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/9966/file/%E5%9F%BA%E9%9A%86%E5%B8%82104%E5%B9%B4%E8%A1%9B%E7%94%9F%E7%AE%A1%E7%90%86%E5%84%AA%E8%89%AF%E5%BB%A0%E5%95%86.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2017/06/13 00:00","2017/07/05 15:16","授權說明網址: http://data.gov.tw/license"
46441,基隆市105年衛生管理優良廠商,生活安全及品質,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/9967/file/%E5%9F%BA%E9%9A%86%E5%B8%82105%E5%B9%B4%E8%A1%9B%E7%94%9F%E7%AE%A1%E7%90%86%E5%84%AA%E8%89%AF%E5%BB%A0%E5%95%86.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2017/06/13 00:00","2017/07/05 15:15","授權說明網址: http://data.gov.tw/license"
46442,基隆市衛生局105年食品抽驗不符規定名冊,生活安全及品質,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/9968/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E8%A1%9B%E7%94%9F%E5%B1%80105%E5%B9%B4%E9%A3%9F%E5%93%81%E6%8A%BD%E9%A9%97%E4%B8%8D%E7%AC%A6%E8%A6%8F%E5%AE%9A%E5%90%8D%E5%86%8A.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2017/06/13 00:00","2017/07/05 15:15","授權說明網址: http://data.gov.tw/license"
46444,基隆市衛生局105年食品抽驗符合規定名冊,生活安全及品質,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/9969/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E8%A1%9B%E7%94%9F%E5%B1%80105%E5%B9%B4%E9%A3%9F%E5%93%81%E6%8A%BD%E9%A9%97%E7%AC%A6%E5%90%88%E8%A6%8F%E5%AE%9A%E5%90%8D%E5%86%8A.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2017/06/13 00:00","2017/07/05 15:15","授權說明網址: http://data.gov.tw/license"
46445,基隆市衛生局106年食品抽驗不符規定名冊,生活安全及品質,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/9970/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E8%A1%9B%E7%94%9F%E5%B1%80106%E5%B9%B4%E9%A3%9F%E5%93%81%E6%8A%BD%E9%A9%97%E4%B8%8D%E7%AC%A6%E8%A6%8F%E5%AE%9A%E5%90%8D%E5%86%8A.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2017/06/13 00:00","2017/07/05 15:14","授權說明網址: http://data.gov.tw/license"
46446,基隆市衛生局106年食品抽驗符合規定名冊,生活安全及品質,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/9971/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E8%A1%9B%E7%94%9F%E5%B1%80106%E5%B9%B4%E9%A3%9F%E5%93%81%E6%8A%BD%E9%A9%97%E7%AC%A6%E5%90%88%E8%A6%8F%E5%AE%9A%E5%90%8D%E5%86%8A.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2017/06/13 00:00","2017/07/05 15:14","授權說明網址: http://data.gov.tw/license"
46447,基隆市105-106年各項預防接種衛生所及合約醫療院所名冊,就醫,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/9973/file/%E5%9F%BA%E9%9A%86%E5%B8%82105-106%E5%B9%B4%E5%90%84%E9%A0%85%E9%A0%90%E9%98%B2%E6%8E%A5%E7%A8%AE%E8%A1%9B%E7%94%9F%E6%89%80%E5%8F%8A%E5%90%88%E7%B4%84%E9%86%AB%E7%99%82%E9%99%A2%E6%89%80%E5%90%8D%E5%86%8A.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2017/06/13 00:00","2017/07/05 15:13","授權說明網址: http://data.gov.tw/license"
46448,基隆市嬰幼兒公費常規疫苗接種單位,就醫,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/9974/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E5%AC%B0%E5%B9%BC%E5%85%92%E5%85%AC%E8%B2%BB%E5%B8%B8%E8%A6%8F%E7%96%AB%E8%8B%97%E6%8E%A5%E7%A8%AE%E5%96%AE%E4%BD%8D.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2017/06/13 00:00","2017/07/05 15:13","授權說明網址: http://data.gov.tw/license"
48126,基隆市柴油車排煙檢測站地址.電話及相關資訊,公共資訊,其他,http://210.203.87.112/kldsyweb/index.aspx,UTF-8,a01,,基隆市環境保護局,每年,政府資料開放授權條款-第1版,http://210.203.87.112/kldsyweb/index.aspx,免費,連小姐,0224651115#272,"2017/07/12 00:00","2017/07/12 16:27","授權說明網址: http://data.gov.tw/license"
48143,機車業務相關資訊,公共資訊,其他,http://210.203.87.112/klepaqw/,UTF-8,a01,,基隆市環境保護局,每年,政府資料開放授權條款-第1版,http://210.203.87.112/klepaqw/,免費,林小姐,24651115#272,"2017/07/12 00:00","2017/07/12 17:14","原資料集類型:其他 授權說明網址: http://data.gov.tw/license"
48205,基隆市政府市政信箱1999資訊,公共資訊,CSV,http://research.klcg.gov.tw/DlFile.ashx?no=11702A8,UTF-8,a01,,基隆市政府研考處,不定期,政府資料開放授權條款-第1版,http://research.klcg.gov.tw/DlFile.ashx?no=11702A8,免費,周小姐,0224201122#1232,"2017/07/13 00:00","2017/09/27 15:59","授權說明網址: http://data.gov.tw/license"
48887,基隆市食品工廠名單,生活安全及品質,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/10249/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E9%A3%9F%E5%93%81%E5%B7%A5%E5%BB%A0%E5%90%8D%E5%96%AE.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321,"2017/08/08 00:00","2017/08/08 09:40","授權說明網址: http://data.gov.tw/license"
49016,基隆市工廠名冊(106年8月),公共資訊,CSV,http://economy.klcg.gov.tw/DlFile.ashx?no=1190009,UTF-8,a01,,基隆市政府產業發展處,不定期,政府資料開放授權條款-第1版,,免費,陳小姐,0224256633,"2017/09/01 00:00","2017/09/01 10:43","授權說明網址: http://data.gov.tw/license"
49302,基隆市房屋標準單價表,公共資訊,CSV,https://www.kltb.gov.tw/core/download/getfile.php?itemId=3733&filekey=0,UTF-8,a01,,基隆市稅務局,,政府資料開放授權條款-第1版,,免費,郭小姐,0224331888#321,"2017/07/31 00:00","2017/08/01 11:19","更新頻率說明: 每三年 授權說明網址: http://data.gov.tw/license"
49303,基隆市地段率等級表,公共資訊,CSV,https://www.kltb.gov.tw/core/download/getfile.php?itemId=3734&filekey=0,UTF-8,a01,,基隆市稅務局,,政府資料開放授權條款-第1版,,免費,郭小姐,0224331888#321,"2017/07/31 00:00","2017/07/31 11:32","更新頻率說明: 每三年 授權說明網址: http://data.gov.tw/license"
49520,"基隆市籍娛樂漁業漁船經營資訊一覽表 ",休閒旅遊,CSV,http://economy.klcg.gov.tw/DlFile.ashx?no=1182B9B,UTF-8,a01,,基隆市政府產業發展處,每季,政府資料開放授權條款-第1版,http://economy.klcg.gov.tw/DlFile.ashx?no=1182B9B,免費,陳先生,24225800;0224289225,"2017/08/28 00:00","2017/08/28 00:00","授權說明網址: http://data.gov.tw/license"
49565,基隆市106年土石流警戒值,公共資訊,CSV,http://economy.klcg.gov.tw/DlFile.ashx?no=1182BAB,UTF-8,a01,,基隆市政府產業發展處,每季,政府資料開放授權條款-第1版,http://economy.klcg.gov.tw/DlFile.ashx?no=1182BAB,免費,陳先生,24225800;0224289225,"2017/08/28 00:00","2017/08/28 00:00","授權說明網址: http://data.gov.tw/license"
49567,市場通訊錄,公共資訊,CSV,http://economy.klcg.gov.tw/DlFile.ashx?no=1182BAD,UTF-8,a01,,基隆市政府產業發展處,每季,政府資料開放授權條款-第1版,http://economy.klcg.gov.tw/DlFile.ashx?no=1182BAD,免費,陳先生,24225800;0224289225,"2017/08/28 00:00","2017/08/28 00:00","授權說明網址: http://data.gov.tw/license"
49569,基隆市各公有市場、集中場聯絡電話,公共資訊,CSV,http://economy.klcg.gov.tw/DlFile.ashx?no=1182BAE,UTF-8,a01,,基隆市政府產業發展處,每季,政府資料開放授權條款-第1版,http://economy.klcg.gov.tw/DlFile.ashx?no=1182BAE,免費,陳先生,24225800;0224289225,"2017/08/28 00:00","2017/08/28 00:00","授權說明網址: http://data.gov.tw/license"
49570,認識禽流感及防治十不五要宣導資料,公共資訊,CSV,http://economy.klcg.gov.tw/DlFile.ashx?no=1182BAF,UTF-8,a01,,基隆市政府產業發展處,每季,政府資料開放授權條款-第1版,http://economy.klcg.gov.tw/DlFile.ashx?no=1182BAF,免費,陳先生,24225800;0224289225,"2017/08/28 00:00","2017/08/28 00:00","授權說明網址: http://data.gov.tw/license"
49803,"基隆市不動產買賣實價登錄Open Data(106年5月買賣登記案件)",購屋及遷徙,CSV;CSV,http://land.klcg.gov.tw/ReadFile?p=Business&id=3495;http://land.klcg.gov.tw/ReadFile?p=Business&id=3496,UTF-8;UTF-8,a01,,基隆市政府地政處,每月,政府資料開放授權條款-第1版,http://plvr.land.moi.gov.tw/DownloadOpenData;http://plvr.land.moi.gov.tw/DownloadOpenData,免費,蔡小姐,0224201122#2406;02242011222406,"2017/08/08 00:00","2017/08/08 15:22","授權說明網址: http://data.gov.tw/license"
49974,"基隆市不動產租賃實價登錄Open Data(106年5月租賃登記案件)",購屋及遷徙,CSV;CSV,http://land.klcg.gov.tw/ReadFile?p=Business&id=3500;http://land.klcg.gov.tw/ReadFile?p=Business&id=3501,UTF-8;UTF-8,a01,,基隆市政府地政處,每月,政府資料開放授權條款-第1版,http://plvr.land.moi.gov.tw/DownloadOpenData;http://plvr.land.moi.gov.tw/DownloadOpenData,免費,陳先生,0224201122#2406,"2017/08/10 00:00","2017/08/10 17:41","授權說明網址: http://data.gov.tw/license"
49979,106年度5月基隆市土地建物登記管理資料,購屋及遷徙,PDF,http://land.klcg.gov.tw/ReadFile?p=Business&id=3502,UTF-8,a01,,基隆市政府地政處,每月,政府資料開放授權條款-第1版,http://land.klcg.gov.tw/business/index?pid=204,免費,陳先生,0224201122#2406,"2017/08/10 00:00","2017/08/10 17:41","授權說明網址: http://data.gov.tw/license"
49980,106年度6月基隆市土地建物登記管理資料,購屋及遷徙,PDF,http://land.klcg.gov.tw/ReadFile?p=Business&id=3503,UTF-8,a01,,基隆市政府地政處,每月,政府資料開放授權條款-第1版,http://land.klcg.gov.tw/business/index?pid=204,免費,陳先生,0224201122#2406,"2017/08/10 00:00","2017/08/10 17:41","授權說明網址: http://data.gov.tw/license"
49981,106年度7月基隆市土地建物登記管理資料,購屋及遷徙,PDF,http://land.klcg.gov.tw/ReadFile?p=Business&id=3504,UTF-8,a01,,基隆市政府地政處,每月,政府資料開放授權條款-第1版,http://land.klcg.gov.tw/business/index?pid=204,免費,陳先生,0224201122#2406,"2017/08/10 00:00","2017/08/10 17:41","授權說明網址: http://data.gov.tw/license"
49983,"基隆市已登記公私有土地登記管理 Open Data(105年案件登記)",購屋及遷徙,PDF,http://land.klcg.gov.tw/ReadFile?p=Business&id=3505,UTF-8,a01,,基隆市政府地政處,每年,政府資料開放授權條款-第1版,http://land.klcg.gov.tw/business/index?pid=204,免費,陳先生,0224201122#2406,"2017/08/10 00:00","2017/08/10 17:39","授權說明網址: http://data.gov.tw/license"
52731,"基隆市不動產買賣實價登錄Open Data(106年6月買賣登記案件)",購屋及遷徙,CSV;CSV,http://land.klcg.gov.tw/ReadFile?p=Business&id=3560;http://land.klcg.gov.tw/ReadFile?p=Business&id=3561,UTF-8;UTF-8,a01,,基隆市政府地政處,每月,政府資料開放授權條款-第1版,http://plvr.land.moi.gov.tw/DownloadOpenData;http://plvr.land.moi.gov.tw/DownloadOpenData,免費,蔡小姐,02-24201122#2406,"2017/08/30 00:00","2017/09/25 08:49",
53055,"基隆市不動產租賃實價登錄Open Data(106年6月租賃登記案件)",購屋及遷徙,CSV;CSV,http://land.klcg.gov.tw/ReadFile?p=Business&id=3575;http://land.klcg.gov.tw/ReadFile?p=Business&id=3576,UTF-8;UTF-8,a01,,基隆市政府地政處,每月,政府資料開放授權條款-第1版,http://land.klcg.gov.tw/business/More?id=595;http://land.klcg.gov.tw/business/More?id=595,免費,陳照哲,02-24201122#2406,"2017/09/18 00:00","2017/09/18 13:50",
53080,106年度8月基隆市土地建物登記管理資料,購屋及遷徙,PDF,http://land.klcg.gov.tw/ReadFile?p=Business&id=3577,NA,a01,,基隆市政府地政處,每月,政府資料開放授權條款-第1版,,免費,陳照哲,02-24201122#2406,"2017/09/18 00:00","2017/09/18 13:50",
54326,106年1月各項稅捐實徵淨額與預算數及上年同期比較－本月數,公共資訊,CSV,https://www.kltb.gov.tw/core/download/getfile.php?itemId=3753&filekey=0,NA,a01,,基隆市稅務局,不定期,政府資料開放授權條款-第1版,,免費,游建章,02-24331888#626,"2017/09/18 00:00","2017/09/18 14:48",
54340,"基隆市不動產租賃實價登錄Open Data(106年7月租賃登記案件)",購屋及遷徙,CSV;CSV,http://land.klcg.gov.tw/ReadFile?p=Business&id=3594;http://land.klcg.gov.tw/ReadFile?p=Business&id=3595,UTF-8;BIG5,a01,,基隆市政府地政處,每月,政府資料開放授權條款-第1版,http://land.klcg.gov.tw/business/More?id=596;http://land.klcg.gov.tw/business/More?id=596,免費,陳照哲,02-24201122#2406,"2017/09/18 00:00","2017/09/18 13:47",
54554,"基隆市不動產買賣實價登錄Open Data(106年7月買賣登記案件)",購屋及遷徙,CSV;CSV,http://land.klcg.gov.tw/ReadFile?p=Business&id=3638;http://land.klcg.gov.tw/ReadFile?p=Business&id=3639,UTF-8;UTF-8,a01,,基隆市政府地政處,每月,政府資料開放授權條款-第1版,http://plvr.land.moi.gov.tw/DownloadOpenData;http://plvr.land.moi.gov.tw/DownloadOpenData,免費,蔡小姐,02-24201122#2406,"2017/09/22 00:00","2017/09/22 11:25",
54969,基隆市總工會名冊,公共資訊,CSV,http://social.klcg.gov.tw/laborer_srv/info_view.php?file=dl&fid=5374&dept_id=4&serno=20170922103228,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,顏俊賢,02-24201122#2207,"2017/09/28 00:00","2017/09/28 10:48",
54970,基隆市企業工會名冊,公共資訊,CSV,http://social.klcg.gov.tw/laborer_srv/info_view.php?file=dl&fid=5375&dept_id=4&serno=20170922103411,UTF-8,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,顏俊賢,02-24201122#2207,"2017/09/28 00:00","2017/09/28 10:48",
54972,基隆市職業工會名冊,公共資訊,CSV,http://social.klcg.gov.tw/laborer_srv/info_view.php?file=dl&fid=5370&dept_id=4&serno=20170922103152,UTF-8,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,顏俊賢,02-24201122#2207,"2017/09/28 00:00","2017/09/28 10:48",
55004,105年度基隆市大型機構受衛生福利部老人福利機構評鑑成績,老年安養,CSV,http://social.klcg.gov.tw/fdl/info_view.php?file=dl&fid=5415&dept_id=1&serno=20170214144321,BIG5,a01,,基隆市政府社會處,不更新,政府資料開放授權條款-第1版,,免費,陳先生,02-24201122#2212,"2017/09/29 00:00","2017/09/29 17:46",
55072,基隆市老人福利機構最近二次評鑑成績一覽表,老年安養,CSV,http://social.klcg.gov.tw/fdl/info_view.php?file=dl&fid=5416&dept_id=1&serno=20160128092515,BIG5,a01,,基隆市政府社會處,不更新,政府資料開放授權條款-第1版,,免費,陳先生,02-24201122,"2017/09/29 00:00","2017/09/29 17:53",
55242,基隆市104年度老人福利機構評鑑結果表,老年安養,CSV,http://social.klcg.gov.tw/fdl/info_view.php?file=dl&fid=5422&dept_id=1&serno=20160126150638,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/09/30 00:00","2017/09/30 17:28",
55245,基隆市失能老人接受長期照顧服務輔具購買及居家無障礙環環境改善補助項目表,老年安養,CSV,http://social.klcg.gov.tw/fdl/info_view.php?file=dl&fid=5423&dept_id=1&serno=20151127142222,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/09/30 00:00","2017/09/30 17:27",
55257,基隆市私立財團法人社會福利慈善基金會名冊,公共資訊,CSV,http://social.klcg.gov.tw/fdl/info_view.php?file=dl&fid=5425&dept_id=1&serno=20151210141812,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/09/30 00:00","2017/09/30 17:27",
55258,基隆市106年度合法設立私立就業服務機構,公共資訊,CSV,http://social.klcg.gov.tw/news/info_view.php?file=dl&fid=5426&dept_id=1&serno=20160219095913,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/09/30 00:00","2017/09/30 17:27",
55259,基隆市102年度第一次老人保護及獨居老人照顧業務聯繫會報(聯繫窗口),公共資訊,CSV,http://social.klcg.gov.tw/social_srv/info_view.php?file=dl&fid=5427&dept_id=1&serno=20151127163703,BIG5,a01,,基隆市政府社會處,不更新,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/09/30 00:00","2017/09/30 17:27",
55261,經中央許可從事兒童及少年收出養媒合單位一覽表,出生及收養,CSV,http://social.klcg.gov.tw/social_srv/info_view.php?file=dl&fid=5428&dept_id=1&serno=20160105171439,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/09/30 00:00","2017/09/30 17:27",
